IMO,NAME,TYPE,FLAG,ARRIV/TIME,BERTH,LPOC,NPOC,PORT,ARRI/DATE
9862748,XPRESS SALWEEN,CONTAINER SHIP,SINGAPORE,155,WW-28+29,JEBEL ALI,KARACHI,KPT,29-10-2024
9738777,DENEB LEADER,VEHICLES CARRIER,PANAMA,305,EW-11+12,JEBEL ALI,KARACHI,KPT,29-10-2024
9473573,GLOBAL HARMONY,BULK CARRIER,LIBERIA,1050,EW-13+14,ZHANJIANG,KARACHI,KPT,29-10-2024
9175535,SC TAIPEI,CRUDE OIL TANKER,HONG KONG,1105,EW-2,SHUAIBA,KARACHI,KPT,29-10-2024
9938884,ZHONG GU NAN NING,CONTAINER SHIP,CHINA,1240,SAPT-4,NHAVA SHEVA,KARACHI,KPT,29-10-2024
9933872,ZHONG GU GUI YANG,CONTAINER SHIP,CHINA,1300,SAPT-3,MUNDRA,KARACHI,KPT,29-10-2024
9255854,MILAHA RAS LAFFAN,LNG TANKER,MALTA,954,PGPCL,RAS LAFFAN,PORT QASIM,PQA,29-10-2024
9154191,MSC POSITANO,CONTAINER SHIP,LIBERIA,1142,QICT-8,MUNDRA,PORT QASIM,PQA,29-10-2024
9509425,DORIS,BULK CARRIER,MALTA,1230,MW-1,MUMBAI,PORT QASIM,PQA,29-10-2024
9187904,SC HONGKONG,CRUDE OIL TANKER,HONG KONG,1245,EVTL,SHUAIBA,PORT QASIM,PQA,29-10-2024
9404209,NAVIOS TEMPO,CONTAINER SHIP,LIBERIA,1340,QICT-5,PIPAVAV,PORT QASIM,PQA,29-10-2024
9967471,X PRESS PHOENIX,CONTAINER SHIP,SINGAPORE,1150,SAPT-4,PIPAVAV,KARACHI,KPT,1/9/2024
9227807,KAI XUAN 11,BULK CARRIER,PANAMA,1215,EW-16+17,KANDLA,KARACHI,KPT,1/9/2024
9444273,MOL PRESENCE,CONTAINER SHIP,LIBERIA,1415,SAPT-3,PORT QASIM,KARACHI,KPT,1/9/2024
